Snarl	P_value
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405<5104428>*<5104423<5104661>*<5104696<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405<5104428>*<5104423<5104661>*<5104696<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404>5104422>*>5104405>5104429>*>5104433<5104437>*<5104489<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104262>*<5104404<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104659>*<5104660<5104661>*<5104696<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103509<5103556<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104261>*>5104210<5104659>*<5104660<5104661>*<5104696<5104926   NaN
dtype: float64"
['5102925_5104926', ['>5104926<5104700>*<5104925>5104699>5104698>5104654>5104653>5104652>*>5104600>5104598>*>5104599>5104597>5104596>5104595>*>5104490>5104489>*>5104437>5104436<5104208>*<5104435>5103553>*>5103510<5103226>*<5103508>5103224<5103127>*<5103223>5103125<5102933>*<5103124>5102925']]	">5104926<5104700>*<5104925>5104699>5104698>5104654>5104653>5104652>*>5104600>5104598>*>5104599>5104597>5104596>5104595>*>5104490>5104489>*>5104437>5104436<5104208>*<5104435>5103553>*>5103510<5103226>*<5103508>5103224<5103127>*<5103223>5103125<5102933>*<5103124>5102925   NaN
dtype: float64"
['5102925_5104926', ['>5104926<5104700>*<5104925>5104699>5104698>5104697>5104653>5104652>*>5104600>5104598>*>5104599>5104597>5104596>5104595>*>5104490>5104489>*>5104437>5104436<5104208>*<5104435>5103553>*>5103510<5103226>*<5103508>5103224<5103127>*<5103223>5103125<5102933>*<5103124>5102925']]	">5104926<5104700>*<5104925>5104699>5104698>5104697>5104653>5104652>*>5104600>5104598>*>5104599>5104597>5104596>5104595>*>5104490>5104489>*>5104437>5104436<5104208>*<5104435>5103553>*>5103510<5103226>*<5103508>5103224<5103127>*<5103223>5103125<5102933>*<5103124>5102925   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104697<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597<5104599>*<5104598<5104600>*<5104652<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103510>*<5103553>5104435>*>5104208<5104436<5104437>*<5104489<5104597>5104925>*>5104700<5104926   NaN
dtype: float64"
['5102925_5104926', ['<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103512<5103513<5103514<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926']]	"<5102925>5103124>*>5102933<5103125>5103223>*>5103127<5103224>5103508>*>5103226<5103512<5103513<5103514<5103557>*<5103632>5103772>*>5103633>5104207>*>5103773>5104435>*>5104208<5104436<5104437>*<5104489<5104490>*<5104595<5104596<5104597<5104599>*<5104598<5104600>*<5104652<5104653<5104654<5104698<5104699>5104925>*>5104700<5104926   NaN
dtype: float64"
